Title,Latitude,Longitude,Northing,Easting
bison1_ne,47.77883,-107.752,393577.6,730947.1
bison1_nw,47.77883,-107.753,393576.6,730865.9
bison1_se,47.77804,-107.752,393489.9,730927.8
bison1_sw,47.77806,-107.753,393490.3,730846.7
bison2_ne,47.97733,-107.971,415289.6,714065.8
bison2_nw,47.97741,-107.972,415297.2,713986.7
bison2_se,47.97654,-107.972,415201,714051.3
bison2_sw,47.97662,-107.973,415209.2,713972.4
bison3_ne,47.8978,-108.152,406205.2,700755.2
bison3_nw,47.89801,-108.153,406226.6,700676.5
bison3_se,47.89699,-108.152,406115,700746.2
bison3_sw,47.8972,-108.153,406137.2,700669.7
cattle1_ne,47.7555,-107.578,391291.4,744019.4
cattle1_se,47.75474,-107.578,391205.6,743995.4
cattle1_sw,47.75567,-107.579,391307.9,743940.5
cattle1_sw,47.75489,-107.579,391221,743916.1
cattle2_ne,47.9109,-108.054,407790.9,708042.1
cattle2_nw,47.911,-108.055,407800,707957.1
cattle2_se,47.91009,-108.054,407701.1,708033.1
cattle2_sw,47.91018,-108.055,407709.2,707953.9
cattle3_ne,47.81196,-108.175,396636.7,699170
cattle3_nw,47.81214,-108.176,396656,699092.3
cattle3_se,47.81115,-108.175,396546.3,699160.8
cattle3_sw,47.81136,-108.176,396568.2,699083.8
trtpd1_ne,47.78218,-107.778,393906.5,728963.9
trtpd1_nw,47.78224,-107.779,393911.2,728881.9
trtpd1_se,47.78144,-107.778,393823.8,728943.3
trtpd1_se,47.78146,-107.78,393824.2,728852.1
trtpd2_ne,47.76481,-107.745,392031.1,731483.9
trtpd2_nw,47.76491,-107.746,392041,731406.9
trtpd2_se,47.76402,-107.745,391943.3,731463.8
trtpd2_sw,47.76412,-107.746,391953,731386.2
trtpd3_ne,47.73483,-107.778,388646.1,729074.8
trtpd3_nw,47.73493,-107.779,388655.2,728996.5
trtpd3_se,47.73404,-107.778,388557.4,729050.3
trtpd3_sw,47.73416,-107.78,388569.5,728971.6
ungrazed1_ne,47.71205,-107.773,386122.8,729488.3
ungrazed1_nw,47.71224,-107.774,386141.6,729410.6
ungrazed1_se,47.71132,-107.774,386041.2,729477.2
ungrazed1_sw,47.71143,-107.775,386052.2,729398
ungrazed2_ne,47.69864,-107.668,384811.9,737401
ungrazed2_nw,47.69872,-107.669,384819.4,737323.4
ungrazed2_se,47.69785,-107.669,384724.2,737383.4
ungrazed2_sw,47.69794,-107.67,384731.9,737304.3
ungrazed3_ne,48.39243,-107.682,461877.7,734615.7
ungrazed3_nw,48.39255,-107.683,461888.6,734534.8
ungrazed3_se,48.39165,-107.682,461790.7,734592.6
ungrazed3_sw,48.39176,-107.683,461800.6,734515.2
untrtpd1_ne,47.98281,-107.938,415948.1,716556.3
untrtpd1_nw,47.98288,-107.939,415954.1,716477.8
untrtpd1_se,47.982,-107.938,415857.8,716564.3
untrtpd1_sw,47.98208,-107.939,415865.6,716484.3
untrtpd2_ne,47.89335,-108.173,405683.8,699205.6
untrtpd2_nw,47.89343,-108.174,405691.5,699127.4
untrtpd2_se,47.89258,-108.173,405597.7,699173.3
untrtpd2_sw,47.89268,-108.174,405607,699094.5
untrtpd3_ne,47.87161,-108.231,403195.6,694877.5
untrtpd3_nw,47.87163,-108.232,403197.2,694798.5
untrtpd3_se,47.87078,-108.231,403103.5,694861.9
untrtpd3_sw,47.87085,-108.232,403109.3,694782.4
